URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
1,https://www.hindustantimes.com/world-news/us-slams-iran-for-attack-on-salman-rushdie-terms-it-despicable-disgusting-101660656638568.html,59,53,0.05357142809311225,0.05216581273769641,38.6,0.7797927461139896,15.751917098445597,38.6,602,413,1402,14,4.845854922279793
2,https://www.hindustantimes.com/sports/football/fifa-suspends-all-india-football-federation-due-to-third-party-influence-101660616404668.html,52,33,0.22352940913494815,0.03926096995877092,33.78947368421053,0.7819314641744548,13.828562059353994,33.78947368421053,502,389,1157,0,4.8473520249221185
3,https://www.hindustantimes.com/lifestyle/health/is-dyslexia-a-gift-here-are-some-surprising-benefits-101660659452049.html,80,53,0.20300751727062016,0.062265917573845544,21.763157894736842,0.8089480048367593,9.02884235982944,21.763157894736842,669,482,1520,25,5.105199516324062
4,https://www.hindustantimes.com/world-news/britains-raf-flights-transporting-ammunition-from-pakistan-to-ukraine-101660657347129.html,61,43,0.1730769214127219,0.04834960481248275,25.476190476190474,0.8392523364485981,10.52617712505563,25.476190476190474,449,356,1045,0,5.366355140186916
5,https://www.hindustantimes.com/entertainment/bollywood/laal-singh-chaddha-box-office-day-5-collection-film-might-shut-shop-by-next-week-earns-only-46-crore-101660623730943.html,60,48,0.11111111008230454,0.04965517239096314,26.63157894736842,0.8162055335968379,10.979113792386105,26.63157894736842,413,329,822,0,4.596837944664031
6,https://www.hindustantimes.com/entertainment/tv/kapil-sharma-shares-pic-with-his-daughter-calls-her-my-little-world-101660641653370.html,66,44,0.1999999981818182,0.050808314064291774,15.125,0.8154269972451791,6.376170798898072,15.125,296,214,600,7,4.595041322314049
7,https://www.hindustantimes.com/entertainment/web-series/aakanksha-singh-as-actors-we-should-readily-take-up-challenges-101660658302147.html,71,47,0.20338982878483197,0.054453161027017465,18.6,0.7338709677419355,7.733548387096775,18.6,273,187,567,15,4.212365591397849
8,https://www.hindustantimes.com/india-news/amit-shah-holds-meet-with-bihar-bjp-core-group-days-after-nitish-moves-on-to-rjd-101660654483696.html,58,48,0.094339621751513,0.04889298890733718,46.625,0.8257372654155496,18.98029490616622,46.625,308,236,654,1,4.833780160857909
9,https://www.hindustantimes.com/cities/delhi-news/pandemic-far-from-over-delhi-l-g-as-capital-sees-rise-in-covid-19-deaths-101660656489406.html,70,47,0.19658119490101544,0.054393305414043094,31.071428571428573,0.7954022988505747,12.74673234811166,31.071428571428573,346,268,801,7,5.052873563218391
10,https://www.hindustantimes.com/astrology/horoscope/horoscope-today-astrological-prediction-for-august-16-2022-101660570505131.html,86,35,0.4214875998224165,0.055530059634910485,15.53012048192771,0.7711404189294027,6.520504360342845,15.53012048192771,994,766,2338,0,4.7874321179208685
